店名,評価,口コミ数,最低価格,URL
La RINA,3.21,32,1197人,https://tabelog.com/ishikawa/A1701/A170101/17014968/
INFO,3.02,4,93人,https://tabelog.com/ishikawa/A1701/A170101/17015806/
イタリアンレストラン&バー 17CLUB アパホテル金沢駅前,3.08,12,461人,https://tabelog.com/ishikawa/A1701/A170101/17000404/
Coil,3.4,237,11815人,https://tabelog.com/ishikawa/A1701/A170101/17011442/
茶房 やなぎ庵,3.46,132,4441人,https://tabelog.com/ishikawa/A1701/A170101/17009440/
懐古洞さかえ,3.08,13,264人,https://tabelog.com/ishikawa/A1701/A170101/17006218/
ロマ キッチン&バー,3.08,10,171人,https://tabelog.com/ishikawa/A1701/A170101/17012891/
豆の樹,3.11,14,338人,https://tabelog.com/ishikawa/A1701/A170101/17007234/
金澤屋珈琲 本店,3.48,181,5916人,https://tabelog.com/ishikawa/A1701/A170101/17007579/
仏蘭西菓子 ボン・ジュルネ あん,3.12,18,344人,https://tabelog.com/ishikawa/A1701/A170101/17014047/
喫茶とらーめん やわら,3.07,14,162人,https://tabelog.com/ishikawa/A1701/A170101/17015720/
ザ ビーンズ ボックス,3.1,22,739人,https://tabelog.com/ishikawa/A1701/A170101/17010266/
Detza,3.18,45,2136人,https://tabelog.com/ishikawa/A1701/A170101/17007877/
スターバックスコーヒー 金沢フォーラス6階クーゴ店,3.06,55,288人,https://tabelog.com/ishikawa/A1701/A170101/17007673/
アイリーカレーハウス,3.42,106,3416人,https://tabelog.com/ishikawa/A1701/A170101/17007603/
ブランケットカフェ,3.41,98,4482人,https://tabelog.com/ishikawa/A1701/A170101/17008879/
エルパソ,3.13,24,1178人,https://tabelog.com/ishikawa/A1701/A170101/17008567/
スターバックスコーヒー 金沢Rinto東口店,3.03,17,56人,https://tabelog.com/ishikawa/A1701/A170101/17015387/
ノバール,3.2,32,735人,https://tabelog.com/ishikawa/A1701/A170101/17004340/
高倉町珈琲 金沢桜田店,3.07,89,1758人,https://tabelog.com/ishikawa/A1701/A170101/17009509/
イタリアントマト・カフェジュニア アピタ金沢店,3.02,14,54人,https://tabelog.com/ishikawa/A1701/A170101/17006438/
箔一 東山店,3.61,1030,13141人,https://tabelog.com/ishikawa/A1701/A170101/17008262/
SWEETS BAR Jam's,3.09,23,1106人,https://tabelog.com/ishikawa/A1701/A170101/17009800/
スターバックスコーヒー 金沢鞍月店,3.04,32,130人,https://tabelog.com/ishikawa/A1701/A170101/17009788/
リンツ ショコラ ブティック＆カフェ 金沢百番街Rinto店,3.04,34,364人,https://tabelog.com/ishikawa/A1701/A170101/17010066/
ハスネテラス,3.18,43,1194人,https://tabelog.com/ishikawa/A1701/A170101/17009157/
サングラスとカフェ mito,3.19,49,851人,https://tabelog.com/ishikawa/A1701/A170101/17010469/
不室茶屋,3.53,488,11916人,https://tabelog.com/ishikawa/A1701/A170101/17009342/
SAKURA CAFE TERRACE,3.14,15,310人,https://tabelog.com/ishikawa/A1701/A170101/17015126/
喫茶 展望,3.21,24,169人,https://tabelog.com/ishikawa/A1701/A170101/17003116/
ひらみぱん,3.68,1252,39042人,https://tabelog.com/ishikawa/A1701/A170101/17006812/
SWAY 金沢兼六園前茶屋店,3.39,84,907人,https://tabelog.com/ishikawa/A1701/A170101/17014463/
むさしの森珈琲 金沢入江店,3.06,79,812人,https://tabelog.com/ishikawa/A1701/A170101/17010771/
フランチメルシーキャラバンサライ,3.07,26,294人,https://tabelog.com/ishikawa/A1701/A170101/17000522/
自家焙煎 東出珈琲店,3.6,383,16040人,https://tabelog.com/ishikawa/A1701/A170101/17002820/
slow　luck,3.06,11,1028人,https://tabelog.com/ishikawa/A1701/A170101/17008239/
玉泉庵,3.25,47,662人,https://tabelog.com/ishikawa/A1701/A170101/17009473/
古都美,3.44,117,2961人,https://tabelog.com/ishikawa/A1701/A170101/17009497/
柴舟小出 野町店,3.03,12,117人,https://tabelog.com/ishikawa/A1701/A170101/17000112/
星乃珈琲店 石川県庁前店,3.04,41,291人,https://tabelog.com/ishikawa/A1701/A170101/17010241/
ノンストップ コーヒー スタンド＆ロースタリー,3.21,24,877人,https://tabelog.com/ishikawa/A1701/A170101/17013078/
パルティ,3.1,20,488人,https://tabelog.com/ishikawa/A1701/A170101/17005849/
ビリオン珈琲  金沢諸江店,3.05,52,461人,https://tabelog.com/ishikawa/A1701/A170101/17009304/
コーヒー&大判焼あんやと25,3.04,11,273人,https://tabelog.com/ishikawa/A1701/A170101/17006413/
カフェ ニャン,3.08,11,338人,https://tabelog.com/ishikawa/A1701/A170101/17008964/
加賀藩御用菓子司 森八 本店,3.24,320,6162人,https://tabelog.com/ishikawa/A1701/A170101/17006809/
豆月,3.09,14,610人,https://tabelog.com/ishikawa/A1701/A170101/17011274/
